tau_D2S,F_C_lagrangian,F_V_lagrangian,F_D_parent,phi_C_eulerian,phi_V_eulerian,phi_D_eulerian
1.36519947246,0.149026850488,0.0200521347932,0.830921014719,0.000900050303495,0.107573458041,0.891526491656
1.44911726733,0.161341743465,0.0240056012976,0.814652655237,0.000970709900437,0.12829140371,0.870737886389
1.53819342655,0.174015074383,0.0284721379062,0.797512787711,0.00104110095982,0.151310236031,0.847648663009
1.63274503094,0.18701316056,0.0334739926998,0.77951284674,0.00111050656974,0.176562607587,0.822326885844
1.73310865204,0.200301829567,0.0390288236985,0.760669346735,0.00117822307452,0.203924931255,0.79489684567
1.83964155018,0.213846759705,0.045149312702,0.741003927593,0.0012435853689,0.233220288442,0.765536126189
1.95272294623,0.227613781311,0.0518428590718,0.720543359617,0.00130599069484,0.264224283001,0.734469726304
2.07275537148,0.241569133758,0.059111343888,0.699319522354,0.00136491922188,0.296673391115,0.701961689663
2.20016610052,0.255679672711,0.0669509535096,0.67736937378,0.00141995000207,0.33027513016,0.668304919838
2.33540867219,0.269913021693,0.0753520524233,0.654734925884,0.00147077135309,0.364719233102,0.633809995545
2.47896450402,0.284237661808,0.0842990982015,0.631463239991,0.00151718526385,0.39968898293,0.598793831806
2.63134460592,0.298622953714,0.0937705958835,0.607606450402,0.00155910595475,0.434871928265,0.56356896578
2.79309139921,0.313039087199,0.10373909441,0.583221818391,0.00159655319035,0.469969344915,0.528434101895
2.96478064741,0.327456956162,0.114171232972,0.558371810866,0.00162964128943,0.504703998071,0.493666360639
3.14702350585,0.341847960649,0.125027849398,0.533124189953,0.00165856498373,0.538825963955,0.459515471061
3.34046869707,0.35618374265,0.136264165255,0.507552092094,0.0016835833462,0.572116460363,0.426199956291
3.54580482013,0.37043586841,0.147830062692,0.481734068898,0.00170500296138,0.604389793701,0.393905203338
3.76376280175,0.384575476306,0.159670466079,0.455754057615,0.00172316137438,0.635493645608,0.362783193018
3.99511849819,0.398572915399,0.171725837388,0.429701247214,0.00173841166314,0.665307993372,0.332953594965
4.24069545698,0.4123974046,0.183932788511,0.403669806889,0.0017511087608,0.693742989139,0.3045059021
4.50136784855,0.426016745574,0.196224807117,0.377758447309,0.00176159793574,0.720736120922,0.277502281142
4.77806357789,0.439397123245,0.208533085943,0.352069790812,0.00177020563507,0.746248952617,0.251980841748
5.07176758765,0.452503026024,0.220787439497,0.326709534479,0.00177723272347,0.770263699313,0.227959067964
5.38352536416,0.46529731326,0.232917287617,0.301785399123,0.00178295001042,0.792779845593,0.205437204397
5.71444665902,0.477741450331,0.244852682587,0.277405867081,0.00178759585526,0.813810964235,0.18440143991
6.06570943943,0.489795922358,0.256525355638,0.253678722004,0.00179137556978,0.833381844791,0.164826779639
6.43856408135,0.501420826424,0.267869759459,0.230709414117,0.00179446229782,0.851525998627,0.146679539075
6.83433782044,0.512576630077,0.278824085228,0.208599284695,0.00179699903592,0.868283570528,0.129919430436
7.25443947652,0.523225071619,0.289331234988,0.187443693394,0.00179910146448,0.883699657335,0.114501241201
7.70036446854,0.533330166182,0.299339732264,0.167330101554,0.0018008612796,0.897823011228,0.100376127492
8.17370013772,0.542859271817,0.308804554951,0.148336173232,0.00180234974955,0.910705088614,0.0874925616361
8.67613139798,0.551784162494,0.317687874427,0.130527963079,0.00180362126261,0.922399394467,0.0757969842707
9.20944673363,0.560082050875,0.325959683573,0.113958265551,0.00180471668151,0.93296106558,0.0652342177383
9.77554456579,0.56773650309,0.333598294306,0.0986652026043,0.00180566637089,0.942446633689,0.0557476999397
10.3764400101,0.574738190919,0.340590683063,0.0846711260183,0.00180649281492,0.950913909997,0.047279597188
11.0142720499,0.581085433337,0.34693266145,0.0719819052138,0.00180721278806,0.958421935637,0.0397708515754
11.6913111501,0.586784489038,0.352628849877,0.0605866610855,0.00180783908144,0.965030947384,0.0331612135347
12.4099673396,0.591849573766,0.357692435367,0.050457990867,0.00180838181719,0.970802314156,0.0273893040266
13.1727987899,0.596302590322,0.362144701271,0.0415527084074,0.0018088494027,0.975798407288,0.0223927433096
13.9825209213,0.600172574394,0.366014326401,0.0338130992047,0.00180924918722,0.980082376235,0.0181083745777
14.8420160692,0.603494875063,0.36933646361,0.0271686613273,0.00180958788433,0.983717811282,0.014472600834
15.7543437436,0.606310104171,0.372151622038,0.021538273791,0.00180987181938,0.986768285978,0.0114218422025
16.7227515208,0.608662902871,0.374504391808,0.0168327053213,0.00181010705255,0.98929678429,0.00889310865751
17.7506866029,0.610600585437,0.376442063205,0.0129573513577,0.00181029941827,0.991365030187,0.00682467039441
18.8418080889,0.612171728989,0.378013202702,0.00981506830873,0.0018104545121,0.993032749798,0.00515679568988
20,0.61342478188,0.379266254216,0.00730896390356,0.00181057764834,0.994356906983,0.00383251536861
