branch,parameter,rho_over_bg,Hlocal_over_Hbg,Upsilon,delta_linear
overdense,4.7269787,154.239482,-8.84561227,-0.712246166,1.58539356
overdense,4.75189636,167.965751,-9.34344454,-0.720935886,1.58986475
overdense,4.77681402,183.222785,-9.87468367,-0.729513701,1.59421548
overdense,4.80173168,200.214524,-10.4421847,-0.737978281,1.59844641
overdense,4.82664934,219.176519,-11.0491006,-0.746328312,1.60255823
overdense,4.85156699,240.381518,-11.6989195,-0.754562497,1.60655171
overdense,4.87648465,264.146188,-12.3955066,-0.762679559,1.61042763
overdense,4.90140231,290.839187,-13.1431528,-0.770678237,1.61418688
overdense,4.92631997,320.890928,-13.9466305,-0.778557291,1.61783034
overdense,4.95123763,354.805393,-14.8112578,-0.786315496,1.62135898
overdense,4.97615529,393.174515,-15.7429724,-0.793951649,1.62477382
overdense,5.00107295,436.695722,-16.7484181,-0.801464565,1.62807592
overdense,5.02599061,486.193438,-17.8350441,-0.808853077,1.63126638
overdense,5.05090827,542.64553,-19.0112218,-0.816116038,1.63434638
overdense,5.07582592,607.215976,-20.2863801,-0.823252322,1.63731713
overdense,5.10074358,681.295394,-21.6711656,-0.83026082,1.64017989
overdense,5.12566124,766.551553,-23.1776291,-0.837140445,1.64293599
overdense,5.1505789,864.992598,-24.8194471,-0.843890128,1.64558677
overdense,5.17549656,979.04661,-26.6121833,-0.850508822,1.64813366
overdense,5.20041422,1111.66219,-28.5735999,-0.8569955,1.65057812
overdense,5.22533188,1266.43635,-30.7240279,-0.863349155,1.65292165
overdense,5.25024954,1447.77792,-33.086812,-0.8695688,1.65516581
overdense,5.2751672,1661.11776,-35.6888443,-0.875653471,1.65731221
overdense,5.30008485,1913.18052,-38.5612098,-0.881602222,1.65936249
overdense,5.32500251,2212.3385,-41.7399696,-0.887414131,1.66131836
overdense,5.34992017,2569.07531,-45.2671149,-0.893088294,1.66318155
overdense,5.37483783,2996.59778,-49.1917371,-0.898623833,1.66495384
overdense,5.39975549,3511.64936,-53.5714691,-0.904019886,1.66663708
overdense,5.42467315,4135.60003,-58.4742702,-0.909275617,1.66823313
overdense,5.44959081,4895.91841,-63.9806508,-0.91439021,1.66974392
overdense,5.47450847,5828.17778,-70.1864628,-0.919362871,1.6711714
overdense,5.49942613,6978.81443,-77.2064207,-0.924192828,1.67251757
overdense,5.52434378,8408.95794,-85.1785788,-0.928879331,1.67378447
overdense,5.54926144,10199.8049,-94.2700642,-0.933421654,1.67497419
overdense,5.5741791,12460.2412,-104.684478,-0.93781909,1.67608885
overdense,5.59909676,15337.7824,-116.671532,-0.942070957,1.67713061
overdense,5.62401442,19034.4721,-130.539703,-0.946176596,1.67810166
overdense,5.64893208,23830.3008,-146.673025,-0.950135369,1.67900423
overdense,5.67384974,30118.2001,-165.553589,-0.953946662,1.6798406
overdense,5.6987674,38457.155,-187.792047,-0.957609883,1.68061307
overdense,5.72368506,49654.1756,-214.169449,-0.961124462,1.68132398
overdense,5.74860271,64893.131,-245.695402,-0.964489856,1.68197569
overdense,5.77352037,85941.2761,-283.690065,-0.967705542,1.68257061
overdense,5.79843803,115487.541,-329.90156,-0.970771019,1.68311116
overdense,5.82335569,157709.898,-386.676979,-0.973685813,1.68359982
overdense,5.84827335,219252.028,-457.216173,-0.976449472,1.68403907
overdense,5.87319101,310953.662,-545.956247,-0.979061565,1.68443142
overdense,5.89810867,451016.063,-659.16768,-0.981521688,1.68477942
overdense,5.92302633,671004.598,-805.902625,-0.983829459,1.68508564
overdense,5.94794399,1027701.58,-999.547891,-0.985984519,1.68535267
overdense,5.97286164,1627614.35,-1260.45336,-0.987986534,1.68558311
overdense,5.9977793,2680402.61,-1620.55176,-0.989835194,1.68577961
overdense,6.02269696,4622722.8,-2131.84133,-0.991530211,1.68594481
overdense,6.04761462,8426791.96,-2882.78051,-0.993071322,1.68608139
overdense,6.07253228,16438447.5,-4031.96702,-0.994458289,1.68619203
overdense,6.09744994,34905494.7,-5882.62866,-0.995690895,1.68627943
overdense,6.1223676,82674556.6,-9063.17651,-0.99676895,1.68634632
overdense,6.14728526,226616899,-15019.0603,-0.997692285,1.68639541
overdense,6.17220292,762858059,-27577.3715,-0.998460759,1.68642946
overdense,6.19712057,3.5034868e+09,-59135.4639,-0.999074251,1.68645119
overdense,6.22203823,2.72150335e+10,-164892.7,-0.999532666,1.68646338
overdense,6.25318531,1.9499874e+12,-1396262.4,-0.999887502,1.68646939
void,0.03,0.999865011,1.000045,1.0001125,-0.00013500405
void,0.0523779725,0.999588582,1.00013715,1.00034295,-0.000411555434
void,0.0747559449,0.999162145,1.00027933,1.00069864,-0.000838423863
void,0.102728411,0.998418502,1.00052733,1.00131943,-0.00158352588
void,0.125106383,0.997655493,1.00078185,1.00195709,-0.00234896622
void,0.153078849,0.996492275,1.00117002,1.00293057,-0.00351771664
void,0.175456821,0.995394733,1.00153644,1.00385061,-0.00462250528
void,0.203429287,0.993815046,1.00206409,1.0051774,-0.00621608964
void,0.225807259,0.9923859,1.00254173,1.00638039,-0.00766134735
void,0.253779725,0.990393952,1.0032079,1.00806133,-0.00968138245
void,0.276157697,0.988637,1.00379591,1.00954804,-0.0114685757
void,0.304130163,0.986238077,1.0045994,1.01158419,-0.0139171114
void,0.326508135,0.984157973,1.00529672,1.01335557,-0.016048054
void,0.354480601,0.981358414,1.00623611,1.01574822,-0.0189275759
void,0.376858573,0.978960642,1.00704148,1.01780539,-0.0214044313
void,0.399236546,0.976423655,1.00789444,1.01998997,-0.0240358122
void,0.427209011,0.973058652,1.00902708,1.02290032,-0.027543147
void,0.449586984,0.970213324,1.00998597,1.02537263,-0.030524188
void,0.477559449,0.966467403,1.01124998,1.02864359,-0.0344704374
void,0.499937422,0.963321122,1.0123131,1.0314052,-0.0378041679
void,0.527909887,0.959203971,1.01370626,1.03503884,-0.0421933433
void,0.55028786,0.955764845,1.01487174,1.03809149,-0.0458831529
void,0.578260325,0.951287029,1.0163916,1.04209012,-0.0507197179
void,0.600638298,0.947563843,1.01765739,1.04543575,-0.0547693601
void,0.628610763,0.942736749,1.01930129,1.0498019,-0.0600582363
void,0.650988736,0.938738927,1.0206652,1.05344264,-0.0644718331
void,0.678961202,0.933574712,1.0224303,1.05817908,-0.0702184056
void,0.701339174,0.929312269,1.02388997,1.06211723,-0.0750004524
void,0.723717146,0.924935575,1.0253914,1.06618834,-0.0799477964
void,0.751689612,0.919307294,1.02732616,1.07146501,-0.0863659467
void,0.774067584,0.914681394,1.02891969,1.0758372,-0.0916889038
void,0.80204005,0.908748575,1.03096791,1.08149191,-0.098579906
void,0.824418023,0.903884727,1.03265085,1.08616795,-0.104283907
void,0.852390488,0.897661715,1.03480908,1.09220429,-0.111654795
void,0.874768461,0.892571601,1.03657861,1.09718714,-0.117745664
void,0.902740926,0.886073236,1.03884324,1.10360894,-0.125603967
void,0.925118899,0.880768906,1.04069641,1.10890175,-0.132087929
