seed,strength,passive_gaussian_fraction,explicit_repulsive_fraction,passive_energy,repulsive_energy
91,0.38,0.525,0.2175,-0.08897705685324814,-0.04760316956990161
91,0.4,0.5325,0.215,-0.09178945195971677,-0.04713510317712631
91,0.42,0.5475,0.2125,-0.09471471473824866,-0.04667347730456095
91,0.44,0.5875,0.21,-0.09793144221509187,-0.046224795982210534
91,0.46,0.605,0.2075,-0.10144227598304502,-0.04579242173132835
91,0.48,0.6375,0.205,-0.10525808715770046,-0.04536837963225791
91,0.5,0.6725,0.2,-0.10946464896149728,-0.04495807770059126
91,0.52,0.6975,0.1975,-0.11418159203541896,-0.04456348450148303
91,0.54,0.7725,0.1975,-0.11948316733445838,-0.044173422001483026
91,0.56,0.7875,0.195,-0.12554714109010892,-0.04378574249160376
91,0.58,0.8075,0.195,-0.13193402261889214,-0.04340549249160376
91,0.6,0.8275,0.1925,-0.13867182205988182,-0.04303092803427752
91,0.62,0.865,0.19,-0.14574973103527367,-0.04266671037825784
91,0.64,0.87,0.1875,-0.15328949163179362,-0.04231145252956908
91,0.66,0.88,0.185,-0.1609630299683999,-0.041965119767774305
91,0.68,0.8925,0.1825,-0.16878803142794963,-0.041625234458758105
91,0.7000000000000001,0.905,0.18,-0.1768997704019166,-0.04129842222444105
91,0.72,0.915,0.1775,-0.18515898544916393,-0.04098161408999908
91,0.74,0.93,0.175,-0.19367846000952657,-0.04067177144576488
91,0.76,0.94,0.1725,-0.2024467686670473,-0.04036857480346408
91,0.78,0.9425,0.17,-0.2113263819425303,-0.04007276764151463
91,0.8,0.955,0.1675,-0.22035960469221288,-0.0397860040062782
91,0.8200000000000001,0.965,0.165,-0.22959539027070705,-0.039510966984702356
91,0.84,0.9675,0.165,-0.23894446419757626,-0.039238716984702354
91,0.86,0.9675,0.165,-0.24830502669757626,-0.03896646698470235
91,0.88,0.975,0.1625,-0.25773374528621695,-0.03869994830416439
91,0.9,0.9775,0.1625,-0.2672508575414182,-0.03843588580416439
91,0.92,0.9875,0.16,-0.2769241160031821,-0.03817415732851491
91,0.9400000000000001,0.99,0.16,-0.2866887441115362,-0.03791815732851491
91,0.96,0.9925,0.16,-0.2965318099039527,-0.03766215732851491
91,0.98,0.995,0.16,-0.3064105422252461,-0.03740615732851491
91,1.0,0.995,0.1575,-0.31631079222524616,-0.037157224874114235
91,1.02,0.995,0.155,-0.32621104222524605,-0.03691007614347363
91,1.04,0.995,0.155,-0.3361112922252461,-0.036669826143473624
91,1.06,0.9975,0.1525,-0.3460389760689446,-0.036436450564479694
91,1.08,0.9975,0.1525,-0.3559890385689447,-0.0362038880644797
91,1.1,0.9975,0.15,-0.36593910106894467,-0.03597180483358586
91,1.12,0.9975,0.1475,-0.37588916356894464,-0.03574724799064025
91,1.1400000000000001,0.9975,0.1475,-0.3858392260689446,-0.035529685490640256
91,1.16,0.9975,0.145,-0.3957892885689446,-0.03531484214213653
91,1.18,0.9975,0.145,-0.40573935106894454,-0.03510459214213653
91,1.2,1.0,0.1425,-0.41569242741991447,-0.03489849437354337
91,1.22,1.0,0.1425,-0.4256924274199145,-0.034695431873543375
91,1.24,1.0,0.14,-0.4356924274199145,-0.03449301998046394
91,1.26,1.0,0.14,-0.4456924274199145,-0.03429701998046394
91,1.28,1.0,0.1375,-0.4556924274199145,-0.03410474325805968
91,1.3,1.0,0.135,-0.4656924274199145,-0.0339161523358381
91,1.32,1.0,0.135,-0.4756924274199145,-0.0337339023358381
91,1.34,1.0,0.135,-0.48569242741991453,-0.033551652335838095
91,1.36,1.0,0.1325,-0.49569242741991454,-0.03337252176771249
91,1.3800000000000001,1.0,0.1325,-0.5056924274199146,-0.033196959267712496
91,1.4000000000000001,1.0,0.13,-0.5156924274199146,-0.033024671508656955
91,1.42,1.0,0.13,-0.5256924274199144,-0.03285567150865695
91,1.44,1.0,0.13,-0.5356924274199144,-0.03268667150865696
91,1.46,1.0,0.13,-0.5456924274199144,-0.032517671508656955
91,1.48,1.0,0.13,-0.5556924274199144,-0.03234867150865695
91,1.5,1.0,0.1275,-0.5656924274199144,-0.03218475501190271
91,1.52,1.0,0.1275,-0.5756924274199144,-0.03202219251190271
91,1.54,1.0,0.125,-0.5856924274199145,-0.031862266830653595
91,1.56,1.0,0.125,-0.5956924274199145,-0.03170601683065359
91,1.58,1.0,0.1225,-0.6056924274199145,-0.031554210127516705
91,1.6,1.0,0.1225,-0.6156924274199145,-0.031404147627516706
91,1.62,1.0,0.12,-0.6256924274199145,-0.031258971663346825
91,1.6400000000000001,1.0,0.1175,-0.6356924274199145,-0.031115543037306702
91,1.6600000000000001,1.0,0.1175,-0.6456924274199145,-0.030977480537306704
91,1.68,1.0,0.115,-0.6556924274199145,-0.03084100953791461
91,1.7,1.0,0.115,-0.6656924274199145,-0.03070875953791461
91,1.72,1.0,0.115,-0.6756924274199145,-0.03057650953791461
91,1.74,1.0,0.115,-0.6856924274199145,-0.03044425953791461
91,1.76,1.0,0.1125,-0.6956924274199145,-0.03031255747625853
91,1.78,1.0,0.1125,-0.7056924274199146,-0.03018599497625853
91,1.8,1.0,0.1125,-0.7156924274199146,-0.03005943247625853
