omega,k,ReG,ImG
1.99,0.0,0.12554949273889898,0.13007275650558206
2.0,0.0,0.12489592006661115,0.13009991673605328
2.0100000000000002,0.0,0.12424533177354063,0.13012368544820113
2.02,0.0,0.12359773160156946,0.13014410914722868
2.0300000000000002,0.0,0.12295312279873798,0.13016123392972928
2.04,0.0,0.12231150813016504,0.13017510548252928
2.05,0.0,0.12167288988882792,0.13018576908170737
2.06,0.0,0.12103726990620152,0.13019326959178454
2.07,0.0,0.12040464956275654,0.13019765146508022
2.08,0.0,0.11977502979831597,0.13019895874122916
2.09,0.0,0.11914841112226986,0.1301972350468536
2.1,0.0,0.1185247936236473,0.13019252359538622
2.11,0.0,0.11790417698104717,0.13018486718703892
2.12,0.0,0.11728656047242554,0.13017430820891243
2.13,0.0,0.11667194298474176,0.13016088863524228
2.14,0.0,0.11606032302346188,0.13014465002777625
2.15,0.0,0.11545169872192065,0.1301256335362792
2.16,0.0,0.11484606785054173,0.1301038798991603
2.17,0.0,0.11424342782591711,0.13007942944421888
2.18,0.0,0.11364377571974556,0.13005232208950426
2.19,0.0,0.11304710826763126,0.1300225973442855
2.2,0.0,0.11245342187774279,0.12999029431012724
2.21,0.0,0.11186271263933338,0.12995545168206724
2.22,0.0,0.11127497633112286,0.12991810774989207
2.23,0.0,0.11069020842954248,0.12987830039950696
2.24,0.0,0.11010840411684301,0.12983606711439613
2.25,0.0,0.10952955828906753,0.1297914449771702
2.2600000000000002,0.0,0.10895366556388901,0.12974447067119663
2.27,0.0,0.10838072028831464,0.12969518048231007
2.2800000000000002,0.0,0.10781071654625715,0.12964361030059954
2.29,0.0,0.10724364816597463,0.12958979562226833
2.3000000000000003,0.0,0.10667950872737952,0.12953377155156423
2.31,0.0,0.10611829156921847,0.12947557280277627
2.32,0.0,0.10555998979612356,0.12941523370229568
2.33,0.0,0.10500459628553668,0.12935278819073717
2.34,0.0,0.1044521036945079,0.12928826982511843
2.35,0.0,0.10390250446636906,0.1292217117810946
2.36,0.0,0.10335579083728419,0.12915314685524507
2.37,0.0,0.1028119548426776,0.12908260746740993
2.38,0.0,0.1022709883235414,0.12901012566307338
2.39,0.0,0.10173288293262316,0.12893573311579182
2.4,0.0,0.101197630140496,0.12885946112966384
2.41,0.0,0.10066522124151128,0.1287813406418398
2.42,0.0,0.10013564735963636,0.12870140222506893
2.43,0.0,0.099608899454178,0.1286196760902813
2.44,0.0,0.09908496832539337,0.1285361920892027
2.45,0.0,0.0985638446199896,0.1284509797170002
2.46,0.0,0.09804551883651379,0.12836406811495668
2.47,0.0,0.09752998133063413,0.12827548607317127
2.48,0.0,0.0970172223203147,0.12818526203328542
2.49,0.0,0.09650723189088402,0.12809342409123103
2.5,0.0,0.096,0.128
2.5100000000000002,0.0,0.09549551648251171,0.12790501717243263
2.52,0.0,0.09499377105522044,0.12780850268402402
2.5300000000000002,0.0,0.09449475332154023,0.1277104832757456
